Channel,Counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,5
89,3
90,3
91,8
92,9
93,12
94,12
95,9
96,11
97,5
98,9
99,7
100,13
101,7
102,7
103,11
104,9
105,11
106,9
107,10
108,12
109,14
110,7
111,9
112,8
113,11
114,7
115,8
116,12
117,8
118,6
119,5
120,8
121,12
122,6
123,15
124,10
125,14
126,17
127,9
128,16
129,7
130,14
131,9
132,8
133,7
134,12
135,7
136,6
137,3
138,6
139,9
140,9
141,10
142,12
143,9
144,12
145,12
146,12
147,11
148,21
149,18
150,7
151,11
152,10
153,10
154,16
155,12
156,11
157,12
158,11
159,9
160,10
161,10
162,13
163,14
164,8
165,11
166,7
167,11
168,10
169,8
170,8
171,9
172,5
173,5
174,11
175,10
176,14
177,7
178,9
179,7
180,9
181,13
182,11
183,13
184,10
185,11
186,9
187,11
188,9
189,11
190,13
191,18
192,10
193,14
194,9
195,12
196,8
197,7
198,15
199,19
200,11
201,14
202,13
203,14
204,11
205,8
206,12
207,8
208,14
209,25
210,11
211,10
212,14
213,13
214,11
215,13
216,16
217,22
218,15
219,12
220,9
221,17
222,13
223,13
224,18
225,14
226,14
227,23
228,22
229,15
230,17
231,18
232,27
233,20
234,21
235,17
236,18
237,14
238,14
239,19
240,19
241,18
242,25
243,22
244,16
245,19
246,30
247,22
248,16
249,20
250,15
251,25
252,21
253,22
254,28
255,24
256,29
257,27
258,17
259,36
260,22
261,28
262,26
263,37
264,16
265,25
266,24
267,35
268,34
269,29
270,25
271,24
272,28
273,30
274,30
275,28
276,28
277,25
278,29
279,41
280,32
281,45
282,44
283,49
284,40
285,38
286,50
287,43
288,53
289,45
290,42
291,45
292,53
293,53
294,61
295,41
296,43
297,43
298,41
299,40
300,55
301,35
302,60
303,54
304,49
305,61
306,51
307,61
308,51
309,65
310,79
311,63
312,68
313,60
314,67
315,80
316,77
317,81
318,75
319,74
320,78
321,72
322,77
323,70
324,92
325,77
326,92
327,107
328,95
329,107
330,102
331,88
332,107
333,106
334,103
335,119
336,135
337,108
338,115
339,127
340,112
341,125
342,122
343,133
344,134
345,116
346,146
347,139
348,133
349,136
350,157
351,146
352,171
353,167
354,149
355,181
356,165
357,178
358,194
359,160
360,185
361,188
362,188
363,186
364,199
365,160
366,208
367,207
368,224
369,224
370,216
371,226
372,230
373,259
374,203
375,254
376,268
377,267
378,254
379,307
380,261
381,288
382,272
383,329
384,316
385,297
386,288
387,306
388,331
389,305
390,328
391,327
392,358
393,344
394,395
395,320
396,384
397,373
398,407
399,390
400,398
401,405
402,418
403,427
404,426
405,468
406,432
407,480
408,441
409,508
410,501
411,500
412,503
413,537
414,520
415,519
416,515
417,529
418,574
419,554
420,597
421,538
422,632
423,618
424,608
425,632
426,602
427,598
428,677
429,703
430,694
431,667
432,671
433,759
434,749
435,771
436,756
437,730
438,710
439,802
440,768
441,796
442,806
443,844
444,870
445,855
446,871
447,906
448,938
449,932
450,953
451,880
452,917
453,888
454,979
455,970
456,1034
457,1008
458,1099
459,1017
460,1012
461,1062
462,1067
463,1090
464,1085
465,1098
466,1162
467,1123
468,1187
469,1170
470,1186
471,1232
472,1254
473,1260
474,1279
475,1296
476,1307
477,1357
478,1300
479,1329
480,1317
481,1320
482,1459
483,1387
484,1480
485,1470
486,1471
487,1538
488,1505
489,1602
490,1498
491,1578
492,1659
493,1629
494,1577
495,1625
496,1625
497,1691
498,1743
499,1806
500,1848
501,1714
502,1810
503,1793
504,1875
505,1841
506,1779
507,1937
508,1916
509,1915
510,1937
511,1959
512,1936
513,2037
514,1943
515,2034
516,2069
