Channel,Counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,14
89,10
90,11
91,19
92,27
93,21
94,26
95,23
96,20
97,14
98,20
99,20
100,33
101,18
102,26
103,25
104,20
105,22
106,30
107,19
108,27
109,29
110,21
111,26
112,20
113,22
114,18
115,20
116,27
117,18
118,16
119,14
120,22
121,18
122,23
123,30
124,24
125,26
126,24
127,21
128,30
129,24
130,25
131,22
132,23
133,27
134,28
135,18
136,17
137,20
138,17
139,30
140,20
141,17
142,26
143,18
144,23
145,21
146,21
147,29
148,32
149,32
150,19
151,21
152,25
153,31
154,32
155,22
156,21
157,28
158,20
159,20
160,19
161,22
162,33
163,28
164,23
165,24
166,23
167,27
168,27
169,23
170,22
171,22
172,22
173,22
174,25
175,28
176,27
177,16
178,24
179,21
180,25
181,31
182,30
183,24
184,22
185,30
186,24
187,20
188,24
189,29
190,19
191,30
192,27
193,31
194,20
195,26
196,22
197,29
198,30
199,35
200,22
201,32
202,25
203,31
204,30
205,18
206,27
207,33
208,25
209,40
210,24
211,35
212,33
213,26
214,24
215,32
216,38
217,39
218,33
219,35
220,26
221,36
222,41
223,33
224,39
225,35
226,40
227,36
228,43
229,34
230,39
231,44
232,42
233,46
234,40
235,45
236,32
237,41
238,34
239,43
240,48
241,44
242,58
243,38
244,36
245,39
246,53
247,47
248,37
249,43
250,42
251,54
252,46
253,43
254,65
255,38
256,63
257,59
258,61
259,67
260,58
261,67
262,49
263,69
264,44
265,68
266,64
267,72
268,72
269,69
270,57
271,69
272,72
273,67
274,62
275,71
276,62
277,61
278,69
279,76
280,74
281,93
282,82
283,100
284,90
285,92
286,106
287,103
288,110
289,100
290,89
291,90
292,109
293,102
294,136
295,109
296,109
297,99
298,106
299,107
300,129
301,103
302,122
303,115
304,119
305,131
306,131
307,147
308,134
309,148
310,154
311,154
312,153
313,165
314,170
315,185
316,159
317,178
318,201
319,161
320,177
321,178
322,189
323,165
324,216
325,199
326,213
327,212
328,219
329,249
330,224
331,217
332,246
333,236
334,218
335,259
336,270
337,259
338,267
339,270
340,265
341,288
342,269
343,315
344,314
345,316
346,334
347,324
348,355
349,317
350,365
351,332
352,352
353,373
354,372
355,387
356,414
357,383
358,416
359,402
360,442
361,440
362,418
363,421
364,523
365,436
366,479
367,521
368,510
369,527
370,519
371,505
372,510
373,599
374,513
375,547
376,625
377,593
378,608
379,690
380,601
381,654
382,663
383,711
384,694
385,670
386,695
387,749
388,759
389,738
390,760
391,793
392,781
393,816
394,884
395,793
396,828
397,848
398,883
399,911
400,920
401,919
402,977
403,954
404,1009
405,1043
406,1034
407,1065
408,1013
409,1131
410,1139
411,1176
412,1113
413,1213
414,1151
415,1185
416,1201
417,1235
418,1289
419,1247
420,1323
421,1300
422,1412
423,1405
424,1396
425,1429
426,1466
427,1470
428,1590
429,1537
430,1613
431,1576
432,1611
433,1710
434,1666
435,1696
436,1763
437,1681
438,1720
439,1797
440,1815
441,1850
442,1903
443,1937
444,1989
445,2013
446,2003
447,2058
448,2146
449,2182
450,2165
451,2141
452,2195
453,2246
454,2234
455,2289
456,2377
457,2284
458,2540
459,2400
460,2450
461,2449
462,2502
463,2538
464,2548
465,2550
466,2645
467,2664
468,2718
469,2769
470,2815
471,2890
472,2863
473,2903
474,3029
475,3039
476,3138
477,3176
478,3075
479,3211
480,3173
481,3201
482,3381
483,3242
484,3464
485,3490
486,3450
487,3571
488,3603
489,3572
490,3576
491,3765
492,3777
493,3795
494,3740
495,3928
496,3881
497,4007
498,4121
499,4129
500,4170
501,4100
502,4240
503,4147
504,4374
505,4344
